codigo_emenda,nome_autor,tipo_autor,partido_autor,codigo_funcao,descricao_funcao,codigo_subfuncao,descricao_subfuncao,codigo_programa,descricao_programa,codigo_acao,descricao_acao,codigo_natureza_despesa,descricao_natureza_despesa,codigo_modalidade,descricao_modalidade,valor_empenhado
39780005-2024,euclydes pettersen,deputado federal,prb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,6522001.0
39780001-2024,euclydes pettersen,deputado federal,prb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,4450000.0
39780005-2024,euclydes pettersen,deputado federal,prb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,2600000.0
39780003-2024,euclydes pettersen,deputado federal,prb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,550000.0
39780001-2024,euclydes pettersen,deputado federal,prb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,350000.0
39780002-2024,euclydes pettersen,deputado federal,prb,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,100000.0
35200001-2024,eunicio oliveira,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,12521585.0
35200003-2024,eunicio oliveira,deputado federal,mdb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,10000000.0
35200002-2024,eunicio oliveira,deputado federal,mdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,10000000.0
35200001-2024,eunicio oliveira,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,2350000.0
30930005-2024,evair vieira de melo,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,9805055.0
30930001-2024,evair vieira de melo,deputado federal,pp,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,9335793.0
30930002-2024,evair vieira de melo,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,5800000.0
30930004-2024,evair vieira de melo,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,3530737.0
30930002-2024,evair vieira de melo,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,2800000.0
30930003-2024,evair vieira de melo,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,1000000.0
30930004-2024,evair vieira de melo,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,30,transferencias a estados e ao distrito federal,500000.0
30930007-2024,evair vieira de melo,deputado federal,pp,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,500000.0
30930007-2024,evair vieira de melo,deputado federal,pp,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,500000.0
30930008-2024,evair vieira de melo,deputado federal,pp,20,agricultura,608,promocao da producao agropecuaria,1144,agropecuaria sustentavel,8622,"promocao do cooperativismo, associativismo e agroindustria para o desenvolvimento agropecuario e da agricultura familiar",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,286500.0
30930009-2024,evair vieira de melo,deputado federal,pp,12,educacao,368,educacao basica,5111,"educacao basica democratica, com qualidade e equidade",0509,apoio ao desenvolvimento da educacao basica,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,0.0
30930008-2024,evair vieira de melo,deputado federal,pp,20,agricultura,608,promocao da producao agropecuaria,1144,agropecuaria sustentavel,8622,"promocao do cooperativismo, associativismo e agroindustria para o desenvolvimento agropecuario e da agricultura familiar",3,outras despesas correntes,90,aplicacoes diretas,13500.0
41800005-2024,fabiano contarato,senador,pt,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,14975000.0
41800005-2024,fabiano contarato,senador,pt,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,5535812.0
41800002-2024,fabiano contarato,senador,pt,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,2748000.0
41800002-2024,fabiano contarato,senador,pt,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,3333262.0
41800010-2024,fabiano contarato,senador,pt,12,educacao,368,educacao basica,5111,"educacao basica democratica, com qualidade e equidade",20rp,apoio a infraestrutura para a educacao basica,4,investimentos,40,transferencias a municipios,0.0
41800013-2024,fabiano contarato,senador,pt,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,40,transferencias a municipios,3533500.0
41800008-2024,fabiano contarato,senador,pt,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,2140000.0
41800022-2024,fabiano contarato,senador,pt,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,1320072.0
41800008-2024,fabiano contarato,senador,pt,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,1861000.0
41800004-2024,fabiano contarato,senador,pt,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,750000.0
41800019-2024,fabiano contarato,senador,pt,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,00sl,"apoio a implantacao e modernizacao de infraestrutura para esporte amador, educacional, recreativo e de lazer",4,investimentos,40,transferencias a municipios,573000.0
41800006-2024,fabiano contarato,senador,pt,21,organizacao agraria,608,promocao da producao agropecuaria,1191,agricultura familiar e agroecologia,210v,"estruturacao produtiva, promocao e fortalecimento da agricultura familiar e da agroecologia",4,investimentos,40,transferencias a municipios,656183.34
41800009-2024,fabiano contarato,senador,pt,23,comercio e servicos,695,turismo,2323,"turismo, esse e o destino",10v0,apoio a projetos de infraestrutura turistica,4,investimentos,40,transferencias a municipios,1491762.0
41800006-2024,fabiano contarato,senador,pt,21,organizacao agraria,608,promocao da producao agropecuaria,1191,agricultura familiar e agroecologia,210v,"estruturacao produtiva, promocao e fortalecimento da agricultura familiar e da agroecologia",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,500000.0
41800003-2024,fabiano contarato,senador,pt,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5662,mulher viver sem violencia,00sn,apoio a implementacao de casas da mulher brasileira e de centros de referencia da mulher brasileira,4,investimentos,40,transferencias a municipios,0.0
41800018-2024,fabiano contarato,senador,pt,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,20jp,"desenvolvimento de atividades e apoio a programas e projetos de esporte amador, educacao, lazer e inclusao social",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,800000.0
41800021-2024,fabiano contarato,senador,pt,15,urbanismo,451,estrutura urbana,2319,mobilidade urbana,00t1,apoio a politica nacional de desenvolvimento urbano voltado a implantacao e qualificacao viaria-infra,4,investimentos,99,reserva de contingencia,0.0
41800015-2024,fabiano contarato,senador,pt,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,99,reserva de contingencia,0.0
41800004-2024,fabiano contarato,senador,pt,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,3,outras despesas correntes,30,transferencias a estados e ao distrito federal,950000.0
41800015-2024,fabiano contarato,senador,pt,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,906215.52
41800002-2024,fabiano contarato,senador,pt,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,3,outras despesas correntes,40,transferencias a municipios,0.0
41800022-2024,fabiano contarato,senador,pt,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,799971.0
41800021-2024,fabiano contarato,senador,pt,15,urbanismo,451,estrutura urbana,2319,mobilidade urbana,00t1,apoio a politica nacional de desenvolvimento urbano voltado a implantacao e qualificacao viaria-infra,4,investimentos,40,transferencias a municipios,767341.0
41800002-2024,fabiano contarato,senador,pt,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,31,transferencias a estados e df - fundo a fundo,699996.0
41800011-2024,fabiano contarato,senador,pt,21,organizacao agraria,631,reforma agraria,5136,"governanca fundiaria, reforma agraria e regularizacao de territorios quilombolas e de povos e comunidades tradicionais",211a,desenvolvimento e gestao ambiental para o publico da reforma agraria,3,outras despesas correntes,90,aplicacoes diretas,0.0
41800012-2024,fabiano contarato,senador,pt,18,gestao ambiental,541,preservacao e conservacao ambiental,6114,protecao e recuperacao da biodiversidade e combate ao desmatamento e incendios,2e87,"implementacao da agenda nacional de protecao, defesa, bem-estar e direitos animais",3,outras despesas correntes,40,transferencias a municipios,477500.0
41800016-2024,fabiano contarato,senador,pt,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5812,promocao e defesa dos direitos das pessoas lgbtqia+,21g2,promocao e defesa dos direitos das pessoas lgbtqia+,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,400000.0
41800020-2024,fabiano contarato,senador,pt,10,saude,423,assistencia aos povos indigenas,5122,saude indigena,20yp,"promocao, protecao e recuperacao da saude indigena",4,investimentos,41,transferencias a municipios - fundo a fundo,0.0
41800010-2024,fabiano contarato,senador,pt,12,educacao,368,educacao basica,5111,"educacao basica democratica, com qualidade e equidade",20rp,apoio a infraestrutura para a educacao basica,4,investimentos,30,transferencias a estados e ao distrito federal,0.0
41800007-2024,fabiano contarato,senador,pt,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5837,"promocao da cidadania, defesa de direitos humanos e reparacao de violacoes",21g5,promocao e defesa dos direitos humanos para todos e reparacao de violacoes,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,0.0
41800023-2024,fabiano contarato,senador,pt,18,gestao ambiental,542,controle ambiental,1190,qualidade ambiental nas cidades e no campo,21a9,"implementacao de programas, planos e acoes para melhoria da qualidade ambiental",4,investimentos,99,reserva de contingencia,0.0
41800004-2024,fabiano contarato,senador,pt,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,3,outras despesas correntes,90,aplicacoes diretas,0.0
41800011-2024,fabiano contarato,senador,pt,21,organizacao agraria,631,reforma agraria,5136,"governanca fundiaria, reforma agraria e regularizacao de territorios quilombolas e de povos e comunidades tradicionais",211a,desenvolvimento e gestao ambiental para o publico da reforma agraria,4,investimentos,90,aplicacoes diretas,0.0
41800004-2024,fabiano contarato,senador,pt,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,3,outras despesas correntes,40,transferencias a municipios,200000.0
41800016-2024,fabiano contarato,senador,pt,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5812,promocao e defesa dos direitos das pessoas lgbtqia+,21g2,promocao e defesa dos direitos das pessoas lgbtqia+,3,outras despesas correntes,40,transferencias a municipios,200000.0
41800001-2024,fabiano contarato,senador,pt,27,desporto e lazer,811,desporto de rendimento,5126,esporte para a vida,20jo,promocao e apoio ao desenvolvimento do futebol feminino e masculino e a defesa dos direitos do torcedor,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,200000.0
41800024-2024,fabiano contarato,senador,pt,04,administracao,722,telecomunicacoes,4101,comunicacao publica e governamental,20b5,fortalecimento do sistema publico de radiodifusao e comunicacao,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,0.0
41800007-2024,fabiano contarato,senador,pt,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5837,"promocao da cidadania, defesa de direitos humanos e reparacao de violacoes",21g5,promocao e defesa dos direitos humanos para todos e reparacao de violacoes,3,outras despesas correntes,40,transferencias a municipios,0.0
41800007-2024,fabiano contarato,senador,pt,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5837,"promocao da cidadania, defesa de direitos humanos e reparacao de violacoes",21g5,promocao e defesa dos direitos humanos para todos e reparacao de violacoes,4,investimentos,30,transferencias a estados e ao distrito federal,0.0
41800023-2024,fabiano contarato,senador,pt,18,gestao ambiental,542,controle ambiental,1190,qualidade ambiental nas cidades e no campo,21a9,"implementacao de programas, planos e acoes para melhoria da qualidade ambiental",3,outras despesas correntes,99,reserva de contingencia,0.0
41800017-2024,fabiano contarato,senador,pt,19,ciencia e tecnologia,572,desenvolvimento tecnologico e engenharia,2324,inovacao nas empresas para uma nova industrializacao,20v6,fomento ao desenvolvimento tecnologico e a inovacao nas empresas e nas cadeias produtivas,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,0.0
41800011-2024,fabiano contarato,senador,pt,21,organizacao agraria,631,reforma agraria,5136,"governanca fundiaria, reforma agraria e regularizacao de territorios quilombolas e de povos e comunidades tradicionais",211a,desenvolvimento e gestao ambiental para o publico da reforma agraria,3,outras despesas correntes,99,reserva de contingencia,0.0
41800004-2024,fabiano contarato,senador,pt,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,4,investimentos,40,transferencias a municipios,191000.0
41800013-2024,fabiano contarato,senador,pt,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,90,aplicacoes diretas,166500.0
41800014-2024,fabiano contarato,senador,pt,20,agricultura,608,promocao da producao agropecuaria,5801,pesca e aquicultura sustentaveis,20y1,desenvolvimento sustentavel da pesca artesanal,3,outras despesas correntes,30,transferencias a estados e ao distrito federal,150000.0
41800014-2024,fabiano contarato,senador,pt,20,agricultura,608,promocao da producao agropecuaria,5801,pesca e aquicultura sustentaveis,20y1,desenvolvimento sustentavel da pesca artesanal,4,investimentos,30,transferencias a estados e ao distrito federal,150000.0
41800008-2024,fabiano contarato,senador,pt,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,31,transferencias a estados e df - fundo a fundo,130000.0
41800009-2024,fabiano contarato,senador,pt,23,comercio e servicos,695,turismo,2323,"turismo, esse e o destino",10v0,apoio a projetos de infraestrutura turistica,4,investimentos,90,aplicacoes diretas,58238.0
41800004-2024,fabiano contarato,senador,pt,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,0.0
41800021-2024,fabiano contarato,senador,pt,15,urbanismo,451,estrutura urbana,2319,mobilidade urbana,00t1,apoio a politica nacional de desenvolvimento urbano voltado a implantacao e qualificacao viaria-infra,4,investimentos,90,aplicacoes diretas,32659.0
41800002-2024,fabiano contarato,senador,pt,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,3,outras despesas correntes,90,aplicacoes diretas,0.0
41800019-2024,fabiano contarato,senador,pt,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,00sl,"apoio a implantacao e modernizacao de infraestrutura para esporte amador, educacional, recreativo e de lazer",4,investimentos,90,aplicacoes diretas,27000.0
41800012-2024,fabiano contarato,senador,pt,18,gestao ambiental,541,preservacao e conservacao ambiental,6114,protecao e recuperacao da biodiversidade e combate ao desmatamento e incendios,2e87,"implementacao da agenda nacional de protecao, defesa, bem-estar e direitos animais",3,outras despesas correntes,90,aplicacoes diretas,0.0
41800004-2024,fabiano contarato,senador,pt,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,4,investimentos,90,aplicacoes diretas,9000.0
31010002-2024,fabio garcia,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,18871585.0
31010001-2024,fabio garcia,deputado federal,uniao,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,18695200.0
31010003-2024,fabio garcia,deputado federal,uniao,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,31,transferencias a estados e df - fundo a fundo,304800.0
43690002-2024,fabio macedo,deputado federal,pode,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,13255055.0
43690001-2024,fabio macedo,deputado federal,pode,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,9467897.0
43690004-2024,fabio macedo,deputado federal,pode,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,9467896.0
43690003-2024,fabio macedo,deputado federal,pode,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,5680737.0
29790012-2024,fabio reis,deputado federal,psd,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,10349699.0
29790002-2024,fabio reis,deputado federal,psd,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,9205000.0
29790003-2024,fabio reis,deputado federal,psd,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,90,aplicacoes diretas,44597.29000000002
29790001-2024,fabio reis,deputado federal,psd,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,30,transferencias a estados e ao distrito federal,2500000.0
29790016-2024,fabio reis,deputado federal,psd,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,1999983.0
29790011-2024,fabio reis,deputado federal,psd,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,1699215.0
29790001-2024,fabio reis,deputado federal,psd,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,1445000.0
29790013-2024,fabio reis,deputado federal,psd,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,1000000.0
29790014-2024,fabio reis,deputado federal,psd,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,0.0
29790010-2024,fabio reis,deputado federal,psd,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,399991.0
29790005-2024,fabio reis,deputado federal,psd,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,2723,"policiamento, fiscalizacao, enfrentamento a criminalidade e corrupcao",4,investimentos,90,aplicacoes diretas,300000.0
29790006-2024,fabio reis,deputado federal,psd,20,agricultura,572,desenvolvimento tecnologico e engenharia,2303,pesquisa e inovacao agropecuaria,20y6,"pesquisa, desenvolvimento e transferencia de tecnologias para a agropecuaria",4,investimentos,90,aplicacoes diretas,265097.04
29790004-2024,fabio reis,deputado federal,psd,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,30,transferencias a estados e ao distrito federal,0.0
29790007-2024,fabio reis,deputado federal,psd,12,educacao,363,ensino profissional,5112,educacao profissional e tecnologica que transforma,20rl,"funcionamento das instituicoes da rede federal de educacao profissional, cientifica e tecnologica",4,investimentos,90,aplicacoes diretas,0.0
29790008-2024,fabio reis,deputado federal,psd,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,250000.0
29790009-2024,fabio reis,deputado federal,psd,08,assistencia social,244,assistencia comunitaria,5134,cuidado e acolhimento de usuarios e dependentes de alcool e outras drogas,21fr,apoio e acolhimento objetivando a reinsercao de usuarios e dependentes de alcool e drogas,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,0.0
39800001-2024,fabio schiochet,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,17835792.0
39800002-2024,fabio schiochet,deputado federal,uniao,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,13440545.0
39800004-2024,fabio schiochet,deputado federal,uniao,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,1998951.0
39800003-2024,fabio schiochet,deputado federal,uniao,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,1700000.0
39800005-2024,fabio schiochet,deputado federal,uniao,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,971436.0
39800001-2024,fabio schiochet,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,1100000.0
39800003-2024,fabio schiochet,deputado federal,uniao,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,500000.0
43700001-2024,fabio teruel,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,18771555.0
43700003-2024,fabio teruel,deputado federal,mdb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,9500000.0
43700002-2024,fabio teruel,deputado federal,mdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,9500000.0
43700001-2024,fabio teruel,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,99,reserva de contingencia,0.0
43700005-2024,fabio teruel,deputado federal,mdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,99,reserva de contingencia,0.0
